Device Time, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Mass air flow sensor A(g/s),Mass air flow sensor B(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Wide Range Current(mA),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(km),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V)
02-Aug-2023 09:11:06.756,0.02,0.01,0.51,0.78,-,-,-,-,-,-,45,-,0,-,-,0,-,44,-,0,-,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,-,-,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,0,12.7
02-Aug-2023 09:11:07.754,0.03,0.15,0.21,0.89,-,-,-,-,14.71,-,45,-,0,-,-,0,-,44,-,0,-,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,-,-,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,0,12.7
02-Aug-2023 09:11:08.755,0,0.02,0.38,0.82,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,0,-,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,-,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,0,12.7
02-Aug-2023 09:11:09.754,0.08,0.01,0.43,0.88,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,0,25.49,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,1,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,0,12.7
02-Aug-2023 09:11:10.754,-0.03,-0.15,0.45,0.73,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,0,25.49,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,1,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,0,12.7
02-Aug-2023 09:11:11.755,0.12,-0.23,0.82,0.63,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,0,25.49,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,1,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,0,12.7
02-Aug-2023 09:11:12.755,0.37,-0.16,0.41,1.2,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,0,25.49,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,1,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,0,12.7
02-Aug-2023 09:11:13.754,0.02,0.05,0.56,0.76,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,0,25.49,-,-,0,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,1,0,0,16.47,-,0,∞,0,-,0.08,0,0,0,-9.43,12.7
02-Aug-2023 09:11:14.755,0.03,0.03,0.56,0.76,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,33.33,25.49,-,-,979.5,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,1,0,0,14.12,-,0,∞,0,-,0.08,0,0,0,-9.43,12.7
02-Aug-2023 09:11:15.753,0.02,0.09,0.61,0.7,18.82,9.02,-,-,14.71,-,45,-,0,-,-,0,-,44,-,33.33,25.49,-,-,979.5,1.46,24.29,-,-,-,-,49.87,-,-,32,1.12,-,89.23,-,-,-,0,2.64,-,-,-,-,-,-,3.53,1,0,0,14.12,-,0,∞,0,-,0.08,0,0,0,-9.43,14.3
